created_at,id,url,reblog,text
2026-05-24T18:16:36.963Z,116630919376298273,https://truthsocial.com/@realDonaldTrump/116630919376298273,no,"If I make a deal with Iran, it will be a good and proper one, not like the one made by Obama, which gave Iran massive amounts of CASH, and a clear and open path to a Nuclear Weapon. Our deal is the exact opposite, but nobody has seen it, or knows what it is. It isn’t even fully negotiated yet. So don’t listen to the losers, who are critical about something they know nothing about. Unlike those before me who should have solved this problem many years ago, I don’t make bad deals! President DJT"
2026-05-24T14:52:47.776Z,116630117922315548,https://truthsocial.com/@realDonaldTrump/116630117922315548,no,
2026-05-24T14:10:50.824Z,116629952973301768,https://truthsocial.com/@realDonaldTrump/116629952973301768,no,"One of the worst deals ever made by our Country was the Iran Nuclear Deal, put forth and signed into existence by Barack Hussein Obama and the rank amateurs of the Obama Administration. It was a direct path to Iran developing a Nuclear Weapon. Not so with the transaction currently being negotiated with Iran by the Trump Administration - THE EXACT OPPOSITE, in fact! The negotiations are proceeding in an orderly and constructive manner, and I have informed my representatives not to rush into a deal in that time is on our side. The Blockade will remain in full force and effect until an agreement is reached, certified, and signed. Both sides must take their time and get it right. There can be no mistakes! Our relationship with Iran is becoming a much more professional and productive one. They must understand, however, that they cannot develop or procure a Nuclear Weapon or Bomb. I would like to thank, thus far, all of the countries of the Middle East for their support and cooperation, which will be further enhanced and strengthened by their joining the Nations of the historic Abraham Accords and, who knows, perhaps the Islamic Republic of Iran would like to join, as well! Thank you for your attention to this matter. President DONALD J. TRUMP"
2026-05-24T13:53:41.859Z,116629885537147552,https://truthsocial.com/@realDonaldTrump/116629885537147552,no,The Dumocrats don’t want to allow FISHING. Fighting us in Court. Bad for the environment. Amazing! President DJT
2026-05-24T12:12:40.879Z,116629488324725621,https://truthsocial.com/@realDonaldTrump/116629488324725621,no,
2026-05-24T12:12:27.661Z,116629487458314957,https://truthsocial.com/@realDonaldTrump/116629487458314957,no,“President Xi and President Trump are AMAZING!”
2026-05-24T12:12:16.821Z,116629486748113104,https://truthsocial.com/@realDonaldTrump/116629486748113104,no,“President Xi and President Trump are AMAZING!”
2026-05-24T12:02:16.112Z,116629447379986678,https://truthsocial.com/@realDonaldTrump/116629447379986678,no,
2026-05-24T12:01:59.369Z,116629446282651415,https://truthsocial.com/@realDonaldTrump/116629446282651415,no,This is a bad (Sick!) group of people. Very destructive to our great Nation. Caused tremendous damage through Weaponization! President DJT
2026-05-24T05:09:41.380Z,116627825055821275,https://truthsocial.com/@realDonaldTrump/116627825055821275,no,“Birthright Citizenship is suicide for our Country!” Mark Levin
2026-05-24T04:23:49.907Z,116627644735216408,https://truthsocial.com/@realDonaldTrump/116627644735216408,no,"Thank you to our great Secret Service and Law Enforcement for the swift and professional action taken this evening against a gunman near the White House, who had a violent history and possible obsession with our Country’s most cherished structure. The gunman is dead after an exchange of gunfire with Secret Service Agents near the White House gates. This event is one month removed from the White House Correspondent’Dinner shooting, and goes to show how important it is, for all future Presidents, to get, what will be, the most safe and secure space of its kind ever built in Washington, D.C. The National Security of our Country demands it!"
